Image Master File,New file,Group
https://cdn.amplifi.pattern.com/b9f94696-9c6c-45cc-b40b-ed98032336a1,U3MR035049_PINK_On Figure_Left-facing_Summer 1 Men 2023.tif,forskye
https://cdn.amplifi.pattern.com/429a72ff-9def-4ec4-bdc4-9278d866af0f,U3MR037731_RED_On Figure_Left-facing_Summer 1 Men 2023.tif,forskye
https://cdn.amplifi.pattern.com/987948b7-6611-438c-95de-81ae16a9d755,U3MR037853_BLACK_On Figure_Left-facing_Summer 1 Men 2023.tif,forskye
https://cdn.amplifi.pattern.com/7aa083a9-7f62-4712-9c78-58cae8cc8829,U3MR037638_CHARCOAL MIX_Swatch_Forward-facing_Summer 1 Men 2023.tif,forskye
https://cdn.amplifi.pattern.com/a8c2c4ea-53ad-46c5-a176-9634986df88b,U3MR040313_WHITE_On Figure_Forward-facing_Summer 1 Men 2023.tif,forskye
https://cdn.amplifi.pattern.com/abe48836-b4c5-4c7e-9a3a-7d42f5413518,U3MR035047_SLATE GREY_On Figure_Left-facing_Summer 1 Men 2023.tif,forskye
https://cdn.amplifi.pattern.com/a761badc-388c-49d8-9e8f-2d6e6aba1b13,U3MR037645_NAVY_On Figure_Left-facing_Summer 1 Men 2023.tif,forskye
https://cdn.amplifi.pattern.com/41be2812-6fae-4b62-b7cb-69d81dac091c,U3MR040349_NAVY_On Figure_Forward-facing_Summer 1 Men 2023.tif,forskye
https://cdn.amplifi.pattern.com/065c1568-ddf0-4f9c-bcca-2edaa8043633,U3MR037709_BLUE_On Figure_Rear-facing_Summer 1 Men 2023.tif,forskye
https://cdn.amplifi.pattern.com/7fae92cd-44f2-492d-b9f9-195e5de089c8,U3MR040349_NAVY_On Figure_Left-facing_Summer 1 Men 2023.tif,forskye
https://cdn.amplifi.pattern.com/5dbf43c2-398d-4474-ac71-aa9186f9954a,U3MR035044_STONE_On Figure_Forward-facing_Summer 1 Men 2023.tif,forskye
https://cdn.amplifi.pattern.com/218a310c-e497-43a0-9f7f-d74f99002af3,U3MR037816_WHITE_On Figure_Right-facing_Summer 1 Men 2023.tif,forskye
